date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:09:27	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2010%20Jun%202023%2009:39:27%20GMT	https://www.range.org/robots.txt		(from )
15:09:27	23585/23585	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Jun%202023%2009:39:27%20GMT	https://www.range.org/	C:/My%20Web%20Sites/range/www.range.org/index.html	(from )
15:09:28	75250/75250	---M-Z	200	added ('OK')	text/css	etag:%223a2786fc5b2d60f90a5e1b4b4f077e95%22	https://uploads-ssl.webflow.com/635514bfcef91625df010250/css/range01.webflow.60a787a51.css	C:/My%20Web%20Sites/range/uploads-ssl.webflow.com/635514bfcef91625df010250/css/range01.webflow.60a787a51.css	(from https://www.range.org/)
15:09:28	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/range/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.range.org/)
15:09:28	568/568	---M--	200	added ('OK')	image/png	etag:%227e7c760b7992b191315a65dbbb94a7a8%22	https://uploads-ssl.webflow.com/635514bfcef91625df010250/63552502738f5f9737666600_favicon.png	C:/My%20Web%20Sites/range/uploads-ssl.webflow.com/635514bfcef91625df010250/63552502738f5f9737666600_favicon.png	(from https://www.range.org/)
15:09:29	4235/4235	---M--	200	added ('OK')	image/png	etag:%22914e0c22db24db918a5517d4629c1a20%22	https://uploads-ssl.webflow.com/635514bfcef91625df010250/635525506e708a077062d02e_webclip.png	C:/My%20Web%20Sites/range/uploads-ssl.webflow.com/635514bfcef91625df010250/635525506e708a077062d02e_webclip.png	(from https://www.range.org/)
15:09:29	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sat,%2010%20Jun%202023%2009:39:29%20GMT	https://www.range.org/join	C:/My%20Web%20Sites/range/www.range.org/join	(from https://www.range.org/)
15:09:30	189040/189040	---M--	200	added ('OK')	image/png	etag:%22cad57e49b433e57cede48ed27af67d76%22	https://uploads-ssl.webflow.com/635514bfcef91625df010250/63f21cc059fff8752cb92304_networks-cards-hero.png	C:/My%20Web%20Sites/range/uploads-ssl.webflow.com/635514bfcef91625df010250/63f21cc059fff8752cb92304_networks-cards-hero.png	(from https://www.range.org/)
15:09:31	42321/42321	---M--	200	added ('OK')	image/png	etag:%229bc4fdef9d43f4a81ce70a4a6e66a78b%22	https://uploads-ssl.webflow.com/635514bfcef91625df010250/63f21cfe39379775a799116b_alerting%20table%20combined.png	C:/My%20Web%20Sites/range/uploads-ssl.webflow.com/635514bfcef91625df010250/63f21cfe39379775a799116b_alerting%20table%20combined.png	(from https://www.range.org/)
15:09:31	104175/104175	---M--	200	added ('OK')	image/png	etag:%22db76fc74d173c2be8132e5de41655b99%22	https://uploads-ssl.webflow.com/635514bfcef91625df010250/63f223eca2038a70c17757c1_Group%20320.png	C:/My%20Web%20Sites/range/uploads-ssl.webflow.com/635514bfcef91625df010250/63f223eca2038a70c17757c1_Group%20320.png	(from https://www.range.org/)
